aeroporto,tipo.de.voo,cia.aerea,possui.deficiencia,facilidade.de.desembarque.no.meio.fio,opcoes.de.transporte.ate.o.aeroporto,processo.de.aquisicao.da.passagem,processo.de.inspecao.de.seguranca,estabelecimentos.de.alimentacao,localizacao.e.deslocamento,conforto.da.sala.de.embarque,disponibilidade.de.tomadas,internet.disponibilizada.pelo.aeroporto,sanitarios,limpeza.geral.do.aeroporto,satisfacao.geral,nacionalidade,genero,idade,escolaridade,renda.familiar,viajando.sozinho,motivo.da.viagem,quantidade.de.viagens.nos.ultimos.12.meses,ja.embarcou.desembarcou.antes.no.aeroporto
SBFZ,Domestico,GOL,Nenhuma,5,4,5,4,4,4,4,4,4,4,4,4,Brasileira,Masculino,36 a 45 anos,Ensino fundamental,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Sim
SBFZ,Domestico,AZUL,Nenhuma,5,4,4,3,4,4,4,5,5,4,4,5,Brasileira,Feminino,26 a 35 anos,Mestrado,Entre 2 e 4 sm,Sim,Outros,6 a 10,Sim
SBFZ,Domestico,GOL,Nenhuma,4,4,5,4,5,4,4,5,3,5,5,4,Brasileira,Masculino,26 a 35 anos,Mestrado,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBFZ,Domestico,GOL,Nenhuma,4,4,4,4,4,4,4,4,4,4,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,Mais de 11,Sim
SBMO,Domestico,GOL,Nenhuma,5,4,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Ensino medio,Entre 1 e 2 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBSV,Domestico,LATAM,Nenhuma,4,4,5,4,5,3,4,5,5,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 1 e 2 sm,Sim,Lazer,2 a 3,Sim
SBVT,Domestico,LATAM,Nenhuma,5,3,4,4,3,5,5,3,5,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBCF,Domestico,AZUL,Nenhuma,4,5,5,5,4,5,4,5,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino medio,Entre 1 e 2 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBSP,Domestico,GOL,Nenhuma,4,3,4,3,2,3,2,2,3,3,3,3,Brasileira,Feminino,26 a 35 anos,Superior,Mais de 20 sm,Sim,Outros,2 a 3,Sim
SBVT,Domestico,AZUL,Nenhuma,5,3,4,4,4,3,2,3,3,2,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Nao
