aeroporto,tipo.de.voo,cia.aerea,possui.deficiencia,facilidade.de.desembarque.no.meio.fio,opcoes.de.transporte.ate.o.aeroporto,processo.de.aquisicao.da.passagem,processo.de.inspecao.de.seguranca,estabelecimentos.de.alimentacao,localizacao.e.deslocamento,conforto.da.sala.de.embarque,disponibilidade.de.tomadas,internet.disponibilizada.pelo.aeroporto,sanitarios,limpeza.geral.do.aeroporto,satisfacao.geral,nacionalidade,genero,idade,escolaridade,renda.familiar,viajando.sozinho,motivo.da.viagem,quantidade.de.viagens.nos.ultimos.12.meses,ja.embarcou.desembarcou.antes.no.aeroporto
SBCY,Domestico,AZUL,Nenhuma,5,1,5,5,4,4,4,3,4,3,4,4,Brasileira,Feminino,18 a 25 anos,Ensino medio,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBFL,Domestico,AZUL,Nenhuma,5,3,5,4,3,5,4,4,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino fundamental,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBFL,Domestico,LATAM,Nenhuma,4,4,5,4,3,4,4,3,4,2,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,4 a 5,Sim
SBPA,Domestico,AZUL,Nenhuma,4,5,5,5,5,4,5,5,5,5,5,5,Brasileira,Masculino,46 a 55 anos,Ensino medio,Entre 2 e 4 sm,Sim,Trabalho,2 a 3,Sim
SBGL,Internacional,TAP,Nenhuma,4,5,5,5,5,4,4,3,5,4,5,4,Brasileira,Masculino,46 a 55 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,4 a 5,Sim
SBCY,Domestico,LATAM,Nenhuma,5,4,5,5,4,4,4,3,2,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro nao informar,Nao,Lazer,1 (Primeira viagem),Nao
SBRJ,Domestico,LATAM,Nenhuma,4,4,4,2,5,4,4,2,5,4,4,4,Brasileira,Masculino,36 a 45 anos,Doutorado,Mais de 20 sm,Sim,Trabalho,Mais de 11,Sim
SBSV,Domestico,LATAM,Nenhuma,2,4,5,5,5,5,3,5,5,5,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Prefiro nao informar,Nao,Lazer,1 (Primeira viagem),Nao
SBFZ,Domestico,LATAM,Nenhuma,4,5,5,5,4,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Ensino medio,Ate 1 sm,Sim,Outros,2 a 3,Sim
SBMO,Domestico,LATAM,Nenhuma,4,5,5,5,2,5,5,5,5,5,5,4,Brasileira,Masculino,18 a 25 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,2 a 3,Nao
SBSV,Domestico,LATAM,Nenhuma,5,5,5,5,5,5,5,5,5,3,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Nao,Lazer,4 a 5,Nao
SBVT,Domestico,LATAM,Nenhuma,4,4,5,5,4,5,5,2,4,4,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBGL,Internacional,AIR FRANCE,Nenhuma,4,5,1,5,4,5,4,1,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Doutorado,Entre 10 e 20 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBGL,Internacional,AIR FRANCE,Nenhuma,4,5,5,5,1,5,2,1,1,3,5,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBGL,Domestico,GOL,Nenhuma,5,5,5,5,4,5,4,4,5,4,4,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,Mais de 11,Sim
SBGO,Domestico,AZUL,Nenhuma,5,5,5,5,5,5,3,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Trabalho,6 a 10,Sim
SBFZ,Domestico,LATAM,Nenhuma,5,4,5,4,3,5,5,5,5,5,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Sim
SBCT,Domestico,LATAM,Nenhuma,5,5,5,5,5,5,5,5,5,4,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBGL,Domestico,GOL,Nenhuma,4,3,4,4,2,4,3,1,1,2,4,3,Brasileira,Feminino,46 a 55 anos,Mestrado,Prefiro nao informar,Sim,Lazer,Mais de 11,Nao
SBMO,Domestico,AZUL,Nenhuma,5,4,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBSV,Domestico,GOL,Nenhuma,4,5,5,5,4,5,4,4,3,3,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBFL,Domestico,LATAM,Nenhuma,4,4,4,5,4,4,4,5,5,4,4,4,Estrangeira,Masculino,36 a 45 anos,Superior,Prefiro nao informar,Sim,Lazer,1 (Primeira viagem),Sim
SBFZ,Domestico,AZUL,Nenhuma,5,5,5,5,3,5,5,5,5,4,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Entre 10 e 20 sm,Nao,Lazer,2 a 3,Sim
SBGL,Domestico,LATAM,Nenhuma,4,3,2,3,3,2,2,2,4,3,3,4,Brasileira,Feminino,46 a 55 anos,Superior,Prefiro nao informar,Nao,Lazer,4 a 5,Sim
SBGL,Domestico,LATAM,Nenhuma,4,3,4,4,5,3,3,3,4,4,5,3,Brasileira,Feminino,18 a 25 anos,Superior,Prefiro nao informar,Nao,Lazer,4 a 5,Sim
SBGO,Domestico,AZUL,Nenhuma,5,4,5,5,4,5,5,5,4,4,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBPA,Domestico,AZUL,Nenhuma,5,5,5,4,3,5,5,3,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino medio,Entre 4 e 10 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBSV,Domestico,AZUL,Nenhuma,5,5,5,4,4,5,5,4,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Ate 1 sm,Sim,Lazer,2 a 3,Sim
SBGL,Domestico,GOL,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Ensino medio,Entre 4 e 10 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBFZ,Domestico,GOL,Nenhuma,4,5,2,5,4,5,5,4,4,5,5,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Outros,2 a 3,Sim
SBMO,Domestico,GOL,Nenhuma,4,5,5,5,5,5,1,1,4,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,4 a 5,Nao
SBPA,Domestico,LATAM,Nenhuma,5,5,5,5,4,5,3,4,4,3,5,5,Brasileira,Masculino,26 a 35 anos,Mestrado,Mais de 20 sm,Sim,Trabalho,1 (Primeira viagem),Nao
SBRJ,Domestico,AZUL,Nenhuma,4,4,5,5,5,5,3,2,2,4,4,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 4 e 10 sm,Nao,Outros,2 a 3,Sim
SBEG,Domestico,AZUL,Nenhuma,5,5,5,5,5,5,5,4,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Ensino medio,Entre 1 e 2 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBFL,Domestico,AZUL,Nenhuma,4,3,5,5,4,5,3,5,2,5,5,4,Brasileira,Masculino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBGL,Internacional,AIR FRANCE,Nenhuma,4,2,4,3,3,5,4,3,4,4,4,4,Brasileira,Feminino,36 a 45 anos,Mestrado,Mais de 20 sm,Nao,Lazer,2 a 3,Nao
SBGR,Domestico,LATAM,Nenhuma,4,5,5,5,5,5,3,3,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,2 a 3,Nao
SBFZ,Domestico,AZUL,Nenhuma,4,1,3,5,2,4,4,3,5,4,5,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,1 (Primeira viagem),Nao
SBBR,Internacional,TAP,Nenhuma,5,5,4,5,5,5,5,5,5,5,5,5,Estrangeira,Feminino,56 a 65 anos,Ensino fundamental,Prefiro nao informar,Nao,Lazer,2 a 3,Nao
SBFL,Domestico,AZUL,Nenhuma,5,4,4,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Ensino medio,Ate 1 sm,Sim,Lazer,2 a 3,Sim
SBFZ,Domestico,LATAM,Nenhuma,5,4,5,4,5,5,4,4,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBGL,Internacional,TAP,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,56 a 65 anos,Ensino medio,Prefiro nao informar,Sim,Lazer,1 (Primeira viagem),Nao
SBPA,Domestico,AZUL,Nenhuma,4,5,2,5,5,5,5,5,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,2 a 3,Sim
SBMO,Domestico,LATAM,Nenhuma,5,1,5,5,5,5,5,3,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,4 a 5,Nao
SBCT,Domestico,GOL,Nenhuma,5,5,2,5,4,5,5,5,3,4,5,5,Brasileira,Masculino,46 a 55 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,2 a 3,Sim
SBEG,Domestico,AZUL,Nenhuma,4,4,5,5,3,4,4,4,5,4,3,3,Brasileira,Feminino,26 a 35 anos,Ensino medio,Entre 2 e 4 sm,Sim,Trabalho,2 a 3,Sim
SBGL,Domestico,AZUL,Nenhuma,4,4,5,5,5,4,2,3,5,5,4,4,Brasileira,Feminino,18 a 25 anos,Ensino medio,Entre 2 e 4 sm,Sim,Trabalho,4 a 5,Nao
SBSV,Domestico,AZUL,Nenhuma,5,5,5,5,4,4,4,5,4,4,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,2 a 3,Sim
SBRJ,Domestico,AZUL,Nenhuma,5,4,5,1,5,5,5,4,4,5,5,5,Brasileira,Feminino,56 a 65 anos,Mestrado,Mais de 20 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBSV,Domestico,AZUL,Nenhuma,4,5,5,5,2,5,3,5,5,5,5,3,Brasileira,Feminino,36 a 45 anos,Superior,Entre 1 e 2 sm,Nao,Lazer,6 a 10,Nao
SBBE,Domestico,LATAM,Nenhuma,5,4,5,5,4,4,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Prefiro nao informar,Sim,Lazer,2 a 3,Sim
SBBR,Domestico,LATAM,Nenhuma,4,4,4,2,4,4,1,1,1,3,4,3,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,6 a 10,Sim
SBEG,Domestico,GOL,Nenhuma,5,3,5,5,2,5,5,5,3,4,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBFZ,Domestico,LATAM,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Ensino medio,Entre 1 e 2 sm,Sim,Trabalho,2 a 3,Sim
SBSV,Domestico,AZUL,Nenhuma,4,4,5,5,4,5,4,3,4,4,4,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBSV,Domestico,GOL,Nenhuma,4,4,4,4,4,4,3,2,5,3,4,3,Brasileira,Masculino,36 a 45 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,6 a 10,Nao
SBVT,Domestico,LATAM,Nenhuma,5,4,5,4,5,4,4,4,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino medio,Entre 4 e 10 sm,Sim,Lazer,6 a 10,Sim
SBVT,Domestico,AZUL,Nenhuma,5,5,5,3,5,5,3,1,3,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Nao,Trabalho,4 a 5,Sim
SBFL,Domestico,AZUL,Nenhuma,5,5,5,5,5,4,5,5,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,2 a 3,Nao
SBMO,Domestico,LATAM,Nenhuma,4,4,4,4,3,4,3,2,4,4,4,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Nao,Lazer,4 a 5,Nao
SBSG,Domestico,LATAM,Nenhuma,4,4,4,4,4,4,4,4,1,3,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro nao informar,Nao,Lazer,1 (Primeira viagem),Nao
SBSP,Domestico,GOL,Nenhuma,5,5,4,5,5,4,3,5,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBFZ,Domestico,GOL,Nenhuma,4,5,5,5,5,5,5,5,5,5,5,4,Brasileira,Masculino,26 a 35 anos,Ensino medio,Entre 1 e 2 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBCT,Domestico,AZUL,Nenhuma,4,5,5,4,5,5,2,5,4,5,5,4,Brasileira,Masculino,46 a 55 anos,Superior,Mais de 20 sm,Sim,Lazer,Mais de 11,Sim
SBCY,Domestico,GOL,Nenhuma,4,4,5,5,5,4,4,5,4,3,4,4,Brasileira,Masculino,26 a 35 anos,Ensino medio,Prefiro nao informar,Sim,Lazer,1 (Primeira viagem),Nao
SBCY,Domestico,LATAM,Nenhuma,5,5,5,5,5,5,5,4,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro nao informar,Sim,Trabalho,4 a 5,Sim
SBGL,Domestico,GOL,Nenhuma,4,5,4,5,4,5,5,4,4,5,5,4,Brasileira,Masculino,36 a 45 anos,Ensino medio,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBGL,Internacional,TAP,Nenhuma,4,4,5,5,4,4,3,1,3,4,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Prefiro nao informar,Sim,Lazer,4 a 5,Sim
SBCF,Internacional,TAP,Nenhuma,4,4,5,4,5,5,5,3,4,5,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Entre 2 e 4 sm,Nao,Lazer,2 a 3,Sim
SBVT,Domestico,GOL,Nenhuma,3,3,4,5,4,4,3,2,3,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,6 a 10,Sim
SBVT,Domestico,GOL,Nenhuma,3,3,5,5,5,5,1,3,2,4,5,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 4 e 10 sm,Sim,Outros,1 (Primeira viagem),Nao
SBFZ,Domestico,GOL,Nenhuma,5,5,3,5,5,4,5,4,4,4,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 2 e 4 sm,Nao,Lazer,2 a 3,Sim
SBGL,Internacional,AIR FRANCE,Nenhuma,4,4,5,5,5,4,4,4,5,4,4,5,Brasileira,Feminino,56 a 65 anos,Superior,Prefiro nao informar,Sim,Lazer e Trabalho,1 (Primeira viagem),Nao
SBKP,Domestico,AZUL,Nenhuma,4,4,5,5,4,4,5,4,4,5,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,1 (Primeira viagem),Nao
SBCY,Domestico,AZUL,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Ensino medio,Entre 1 e 2 sm,Sim,Lazer,4 a 5,Sim
SBFZ,Domestico,LATAM,Nenhuma,5,5,4,5,4,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBFZ,Domestico,LATAM,Nenhuma,5,5,3,5,5,5,5,5,5,1,4,4,Brasileira,Feminino,56 a 65 anos,Superior,Entre 10 e 20 sm,Nao,Lazer,4 a 5,Nao
SBFL,Domestico,AZUL,Nenhuma,4,4,5,4,5,5,5,5,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Nao
SBPA,Domestico,LATAM,Nenhuma,5,5,5,5,4,5,5,4,5,5,5,5,Estrangeira,Masculino,26 a 35 anos,Superior,Prefiro nao informar,Sim,Lazer,2 a 3,Sim
SBCY,Domestico,AZUL,Nenhuma,5,5,5,5,5,4,5,4,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Superior,Prefiro nao informar,Sim,Lazer,2 a 3,Sim
SBGO,Domestico,LATAM,Nenhuma,5,5,5,4,4,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,Mais de 11,Nao
SBGR,Internacional,LUFTHANSA,Nenhuma,3,3,5,5,2,3,3,3,3,1,1,1,Estrangeira,Masculino,36 a 45 anos,Mestrado,Entre 10 e 20 sm,Sim,Lazer,2 a 3,Nao
SBFZ,Domestico,AZUL,Nenhuma,4,4,5,5,5,5,4,5,5,4,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,2 a 3,Nao
SBFZ,Domestico,GOL,Nenhuma,5,5,4,4,3,4,4,4,5,4,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Nao,Lazer,2 a 3,Nao
SBRF,Domestico,GOL,Nenhuma,1,1,4,5,4,4,4,3,4,3,3,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,2 a 3,Sim
SBRF,Domestico,GOL,Nenhuma,4,4,5,4,4,5,4,3,5,3,3,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,2 a 3,Sim
SBPA,Domestico,LATAM,Nenhuma,4,4,5,5,3,5,4,3,5,4,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 1 e 2 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBPA,Domestico,AZUL,Nenhuma,4,4,4,3,2,4,2,1,4,4,5,4,Brasileira,Masculino,18 a 25 anos,Ensino medio,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Nao
SBCY,Domestico,LATAM,Nenhuma,5,5,5,5,4,5,4,4,2,2,4,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBGR,Domestico,GOL,Nenhuma,5,5,4,5,4,3,3,1,5,5,5,4,Brasileira,Feminino,18 a 25 anos,Superior,Prefiro nao informar,Sim,Trabalho,1 (Primeira viagem),Sim
SBSG,Domestico,LATAM,Nenhuma,4,4,5,5,5,5,5,1,5,3,5,5,Brasileira,Feminino,36 a 45 anos,Ensino medio,Entre 2 e 4 sm,Nao,Trabalho,2 a 3,Nao
SBPA,Domestico,AZUL,Nenhuma,4,4,5,5,2,5,5,5,5,4,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBFZ,Domestico,GOL,Nenhuma,5,5,5,5,4,4,5,3,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino medio,Entre 1 e 2 sm,Sim,Trabalho,2 a 3,Sim
SBCF,Domestico,AZUL,Nenhuma,5,5,5,5,3,4,3,4,3,4,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Sim
SBPA,Domestico,AZUL,Nenhuma,5,5,5,5,5,5,4,5,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBSV,Domestico,GOL,Nenhuma,5,5,5,5,5,5,5,3,2,5,5,4,Brasileira,Masculino,46 a 55 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,6 a 10,Sim
SBSP,Domestico,LATAM,Nenhuma,5,5,5,5,4,5,2,4,5,3,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,2 a 3,Sim
SBVT,Domestico,AZUL,Nenhuma,5,5,5,5,3,5,5,5,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino medio,Entre 1 e 2 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBGR,Domestico,ITAPEMIRIM,Nenhuma,3,3,2,2,4,1,2,1,1,3,4,2,Brasileira,Masculino,26 a 35 anos,Ensino medio,Prefiro nao informar,Sim,Trabalho,6 a 10,Sim
SBEG,Domestico,GOL,Nenhuma,5,5,4,5,5,5,4,4,2,3,5,4,Brasileira,Masculino,56 a 65 anos,Superior,Entre 10 e 20 sm,Sim,Outros,6 a 10,Sim
SBMO,Domestico,LATAM,Nenhuma,5,5,5,5,1,5,1,4,5,5,5,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBCF,Domestico,LATAM,Deficiencia Fisica / Motora,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino medio,Entre 1 e 2 sm,Nao,Lazer,2 a 3,Sim
SBCF,Domestico,AZUL,Nenhuma,1,1,3,2,5,2,5,3,1,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Sim
SBRJ,Domestico,LATAM,Nenhuma,5,5,5,2,4,4,4,5,3,4,5,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,6 a 10,Sim
SBSG,Domestico,GOL,Nenhuma,2,2,5,5,3,5,5,3,4,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,Mais de 11,Nao
SBBE,Domestico,AZUL,Nenhuma,5,5,5,5,4,5,5,3,3,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Outros,2 a 3,Sim
SBRF,Domestico,LATAM,Nenhuma,3,3,4,4,2,4,3,3,4,4,4,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBPA,Domestico,AZUL,Nenhuma,5,5,5,5,5,5,4,3,5,4,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBMO,Domestico,GOL,Nenhuma,5,5,5,5,4,5,5,5,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 2 e 4 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBCY,Domestico,AZUL,Nenhuma,4,4,5,5,5,5,4,5,5,5,4,5,Brasileira,Masculino,36 a 45 anos,Ensino medio,Prefiro nao informar,Sim,Lazer e Trabalho,2 a 3,Sim
SBSV,Domestico,GOL,Nenhuma,5,5,3,5,5,5,5,3,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Nao
SBFL,Domestico,AZUL,Nenhuma,2,2,4,4,4,4,4,4,5,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Nao,Lazer,1 (Primeira viagem),Sim
SBGL,Domestico,GOL,Nenhuma,5,5,5,4,3,4,4,3,4,4,4,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBGO,Domestico,GOL,Nenhuma,4,4,1,5,5,5,5,5,5,4,5,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,4 a 5,Nao
SBMO,Domestico,LATAM,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Nao,Lazer,1 (Primeira viagem),Nao
SBSV,Domestico,LATAM,Nenhuma,1,1,4,5,2,4,4,2,1,4,4,4,Brasileira,Feminino,36 a 45 anos,Ensino medio,Ate 1 sm,Sim,Outros,1 (Primeira viagem),Sim
SBSV,Domestico,ITAPEMIRIM,Nenhuma,5,5,4,5,1,3,3,3,5,5,5,4,Brasileira,Feminino,18 a 25 anos,Ensino medio,Prefiro nao informar,Sim,Trabalho,6 a 10,Sim
SBSV,Domestico,ITAPEMIRIM,Nenhuma,4,4,5,5,4,4,4,3,4,3,4,4,Brasileira,Feminino,36 a 45 anos,Superior,Mais de 20 sm,Sim,Outros,6 a 10,Sim
