aeroporto,tipo.de.voo,cia.aerea,possui.deficiencia,facilidade.de.desembarque.no.meio.fio,opcoes.de.transporte.ate.o.aeroporto,processo.de.aquisicao.da.passagem,processo.de.inspecao.de.seguranca,estabelecimentos.de.alimentacao,localizacao.e.deslocamento,conforto.da.sala.de.embarque,disponibilidade.de.tomadas,internet.disponibilizada.pelo.aeroporto,sanitarios,limpeza.geral.do.aeroporto,satisfacao.geral,nacionalidade,genero,idade,escolaridade,renda.familiar,viajando.sozinho,motivo.da.viagem,quantidade.de.viagens.nos.ultimos.12.meses,ja.embarcou.desembarcou.antes.no.aeroporto
SBCT,Doméstico,LATAM,Nenhuma,5,5,5,5,5,5,5,5,5,4,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Não
SBGL,Doméstico,GOL,Nenhuma,4,3,4,4,2,4,3,1,1,2,4,3,Brasileira,Feminino,46 a 55 anos,Mestrado,Prefiro não informar,Sim,Lazer,Mais de 11,Não
SBMO,Doméstico,AZUL,Nenhuma,5,4,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,1 (Primeira viagem),Não
SBSV,Doméstico,GOL,Nenhuma,4,5,5,5,4,5,4,4,3,3,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,1 (Primeira viagem),Não
SBFL,Doméstico,LATAM,Nenhuma,4,4,4,5,4,4,4,5,5,4,4,4,Estrangeira,Masculino,36 a 45 anos,Superior,Prefiro não informar,Sim,Lazer,1 (Primeira viagem),Sim
SBFZ,Doméstico,AZUL,Nenhuma,5,5,5,5,3,5,5,5,5,4,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Entre 10 e 20 sm,Não,Lazer,2 a 3,Sim
SBGL,Doméstico,LATAM,Nenhuma,4,3,2,3,3,2,2,2,4,3,3,4,Brasileira,Feminino,46 a 55 anos,Superior,Prefiro não informar,Não,Lazer,4 a 5,Sim
SBGL,Doméstico,LATAM,Nenhuma,4,3,4,4,5,3,3,3,4,4,5,3,Brasileira,Feminino,18 a 25 anos,Superior,Prefiro não informar,Não,Lazer,4 a 5,Sim
SBGO,Doméstico,AZUL,Nenhuma,5,4,5,5,4,5,5,5,4,4,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBPA,Doméstico,AZUL,Nenhuma,5,5,5,4,3,5,5,3,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 4 e 10 sm,Não,Lazer,1 (Primeira viagem),Não
SBSV,Doméstico,AZUL,Nenhuma,5,5,5,4,4,5,5,4,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,até 1 salário mínimo,Sim,Lazer,2 a 3,Sim
SBGL,Doméstico,GOL,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Ensino médio,Entre 4 e 10 sm,Não,Lazer,1 (Primeira viagem),Não
SBFZ,Doméstico,GOL,Nenhuma,4,5,2,5,4,5,5,4,4,5,5,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Outros,2 a 3,Sim
SBMO,Doméstico,GOL,Nenhuma,4,5,5,5,5,5,1,1,4,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,4 a 5,Não
SBPA,Doméstico,LATAM,Nenhuma,5,5,5,5,4,5,3,4,4,3,5,5,Brasileira,Masculino,26 a 35 anos,Mestrado,Mais de 20 sm,Sim,Trabalho,1 (Primeira viagem),Não
SBRJ,Doméstico,AZUL,Nenhuma,4,4,5,5,5,5,3,2,2,4,4,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 4 e 10 sm,Não,Outros,2 a 3,Sim
SBEG,Doméstico,AZUL,Nenhuma,5,5,5,5,5,5,5,4,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Ensino médio,Entre 1 e 2 sm,Sim,Lazer,1 (Primeira viagem),Não
SBFL,Doméstico,AZUL,Nenhuma,4,3,5,5,4,5,3,5,2,5,5,4,Brasileira,Masculino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
